,,Indent Received,,,,,,,,Indent Verification - Specification,,,,,,,,Check Store Availablity,,,,,,,,,Float RFQ,,,,,Received Techno Commercial Offer from Suppliers and Service Provider - Send the Technical Offer to Project/ Engineering Department | Comparision Sheet,,,,,Negotiation and Decision to be Taken,,,,,PO Creation,,,,,,Material Physically Received,,,,,,,,Material Inspection,,,,,Material Inspection and Material Quality Approved,,,,,Second Material Inspection,,,,,Third Material Inspection,,,,,,,Bill Creation (Convert to Bill),,,,,
Who,,"Shiv, Noida Production, Engineering, HR, AZ IT, Project, Store",,,,,,,,"PD, Mon, Bharti, Aftab",,,,,,,,Rajkumar Bharti,,,,,,,,,"Suppliers (number of suppliers - min 3) (PD, Aftab, Mon, Bharti)",,,,,"PD, Mon, Bharti",,,,,PD | Aftab | Atul,,,,,"Aftab, AZ, Mon, Bharti, Vikrant",,,,,,"Rajkumar Bharti, Aftab, Mon, Shiv",,,,,,,,Saurabh Sir| Aftab,,,,,Saurabh Sir | Aftab,,,,,Saurabh Sir| Aftab,,,,,Saurabh Sir | Aftab,,,,,,,"Mon, Bharti",,,,,
How,,Filling Indent for Material Form,,,,,,,,Check the Received Indent,,,,,,,,Check Store Availablity,,,,,,,,,Via Mail,,,,,Sending offer to respective department | Comparison Sheet,,,,,After Technical Clearance & Discussion with Management,,,,,Discussion with Management,,,,,,Receive the Material at Site,,,,,,,,Checking the Quality and Quantity of Material,,,,,Accept/ Reject Material Quality,,,,,Second Inspection after disapproval in the First,,,,,Accept/ Reject Material Quality,,,,,,,PO Conversion to Bill (Zoho),,,,,
When,,Materials Required,,,,,,,,04:00:00,,,,,,,,04:00:00,,,,,,,,,"1 day for Tailor-Made, 3hrs for Ready-Made",,,,,"3 Days for Tailor-Made, 1 Day for Ready-Made",,,,,"2 Days for Tailor-Made, 4hrs for Ready-Made",,,,,04:00:00,,,,,,,,,,,,,,1,04:00:00,,,12-11-2024,1,04:00:00,,,,"1 Day for Tailor-Made, 4hrs for Ready-Made",,,,,1,04:00:00,"1 Day for Tailor-Made, 4hrs for Ready-Made",,,,,End of Day,,,,,
Time Stamp,Indent No.,Filled By,Project ID,Project Name,Item Description,Quantity,Required Date,Attachment,Item Type,Planned,Planned,Actual,Status,Time Delay,Remarks,Responsible Person,Hold/ Cancelled,Planned,Actual,Status,Time Delay,Current Quantity,CQ in numbers,QR in num,Stock - Required,Remarks,Planned,Actual,Status,Time Delay,Remarks,Planned,Actual,Status,Time Delay,Remarks,Planned,Actual,Status,Time Delay,Remarks,Planned,Actual,Status,PO Number,Time Delay,Remarks,Planned,Actual (Partial),Actual (Fully),Actual,Time Delay,Partially/ Fully Received,Place of Receiving,Remarks,Planned,Actual,Status,Time Delay,Remarks,Planned,Actual,Status,Time Delay,Remarks,Planned,Actual,Quality Approved,Time Delay,Remarks,Planned (Tailor-Made),Planned (Ready-Made),Planned,Actual,Quality Approved,Time Delay,Remarks,Planned,Actual,Status,Time Delay,Remarks,Total Time (In Days)
04-11-2024 11:08,I-202,SN,CONSUMABLE,CONSUMABLE,"GRINDER DISC 4""",100 NOS,08-Nov-24,,Ready-Made,04-11-2024 15:08,04-11-2024 15:08,04-11-2024 15:19,Accepted,00:11:12,,Vikrant,,05-11-2024 09:19,04-11-2024 14:47,Done,,,,100,-100,FOR SHAMLI,04-11-2024 17:47,08-11-2024 10:47,Done,88:59:19,,09-11-2024 10:47,08-11-2024 10:47,Done,,Standard item,08-11-2024 14:47,08-11-2024 10:47,Done,,,08-11-2024 14:47,08-11-2024 17:14,,8164,02:27:32,,08-11-2024 15:00,,12-11-2024 10:09,12-11-2024 10:09,91:09:09,Fully Received,Noida,SHAMLI TO BE UPDATE,12-11-2024 14:09,,,19:20:10,,12-11-2024 14:09,,,19:20:10,,,,,,,,,,,,,,,,,,,
04-11-2024 16:01,I-203,RJB,Job-FOR abuCLEANING,FOR abuCLEANING,CON-CONSUMABLE-SCOTCH BRITE-NA-NA,05 PKT,04-Nov-24,,Ready-Made,05-11-2024 10:01,05-11-2024 10:01,04-11-2024 15:19,Accepted,,,Vikrant,,05-11-2024 09:19,04-11-2024 14:48,Done,,,,5,-5,FOR SHAMLI,04-11-2024 17:48,06-11-2024 09:55,Done,40:07:01,,07-11-2024 09:55,12-11-2024 10:23,Done,120:28:55,Standard item,12-11-2024 14:23,08-11-2024 10:47,Done,,,08-11-2024 14:47,08-11-2024 17:16,,8151,02:28:54,,04-11-2024 15:00,,09-11-2024 09:56,09-11-2024 09:56,114:56:08,Fully Received,Noida,,09-11-2024 13:56,,,91:33:12,,09-11-2024 13:56,,,91:33:12,,,,,,,,,,,,,,,,,,,
04-11-2024 16:01,I-203,RJB,Job-FOR abuCLEANING,FOR abuCLEANING,CON-CONSUMABLE-DETERGENT POWDER GHADI-NA-NA,05 KG,04-Nov-24,,Ready-Made,05-11-2024 10:01,05-11-2024 10:01,06-11-2024 09:04,Accepted,23:03:13,,Vikrant,,06-11-2024 13:04,05-11-2024 17:39,Done,,0,,5,-5,NOT IN STOCK,06-11-2024 10:39,06-11-2024 14:06,Done,03:27:16,"no need of RFQ ,LOW value consumable item",07-11-2024 14:06,12-11-2024 10:23,Done,116:17:49,Standard item,12-11-2024 14:23,06-11-2024 14:39,Done,,,06-11-2024 18:39,08-11-2024 17:16,,CASH,46:37:06,,04-11-2024 15:00,,05-11-2024 09:55,05-11-2024 09:55,18:55:27,Fully Received,Noida,,05-11-2024 13:55,06-11-2024 17:34,Done,27:39:18,,05-11-2024 13:55,06-11-2024 17:34,Yes,27:39:18,,,,,,,,,,,,,,06-11-2024 19:00,11-11-2024 10:34,Cash Purchase,111:34:19,CASH PURCHAE,6.77
04-11-2024 16:27,I-204,SR,32520,MILL,HEX.BOLT M12 X 40 LONG (GRADE 8.8 GAVANIZED),930 NOS,30-Nov-24,"https://workdrive.zoho.eu/file/42jb1f7ce68fbd22f4a4c9eac18ed18e67a2d,https://workdrive.zoho.eu/file/42jb12e81e6eca3a34b619358d72a7e19b7e0",Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 17:59,Done,,0,,930,-930,NOT IN STOCK,05-11-2024 10:59,06-11-2024 14:07,Done,27:08:22,"no need of RFQ ,LOW value consumable item",07-11-2024 14:07,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 14:39,Done,,,06-11-2024 18:39,07-11-2024 14:53,,8142,20:14:18,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,06-11-2024 17:34,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX.BOLT M12 X 50 LONG (GRADE 8.8 GAVANIZED),50 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,50,-50,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:07,Done,27:07:38,Std. price list item,07-11-2024 14:07,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,8142,,IN STOCK,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX.BOLT M12 X 60 LONG (GRADE 8.8 GAVANIZED),11 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,50 NOS,50,11,39,STOCK,05-11-2024 11:00,06-11-2024 14:07,Done,27:07:43,Std. price list item,07-11-2024 14:07,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 14:39,Done,,,06-11-2024 18:39,08-11-2024 17:17,,8142,46:37:36,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX.BOLT M12 X 120 LONG (GRADE 5.6 GAVANIZED),135 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,135,-135,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:07,Done,27:07:43,Std. price list item,07-11-2024 14:07,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,8142,,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX NUT M12 (GRADE 8.8 ),987 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,987,-987,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:07,Done,27:07:49,Std. price list item,07-11-2024 14:07,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,8142,,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX NUT M12 (GRADE 5.6 GAVANIZED),135 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,135,-135,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:07,Done,27:07:49,Std. price list item,07-11-2024 14:07,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,,,IN STOCK SHAMLI,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,PLAIN WASHER FOR M12 (GRADE 8.8 ),987 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,987,-987,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:07,Done,27:07:54,Available at Shamli,07-11-2024 14:07,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,,,IN STOCK NOIDA,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,PLAIN WASHER FOR M12 (GRADE 5.6 GAVANIZED),135 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,987 NOS,987,135,852,STOCK,05-11-2024 11:00,06-11-2024 14:07,Done,27:07:54,Avilable in store,07-11-2024 14:07,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 14:39,Done,,,06-11-2024 18:39,11-11-2024 17:17,,,118:37:51,IN STOCK NOIDA,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX.BOLT M20 X 50 LONG.(GRADE 8.8 ),16 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,135 NOS,135,16,119,STOCK,05-11-2024 11:00,06-11-2024 14:08,Done,27:08:00,Avilable in store,07-11-2024 14:08,06-11-2024 15:27,Done,,,07-11-2024 09:27,06-11-2024 14:39,Done,,,06-11-2024 18:39,08-11-2024 17:19,,8142,46:40:08,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX NUT M20 (GRADE 8.8 ),16 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,16,-16,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:08,Done,27:08:00,Std. price list item,07-11-2024 14:08,06-11-2024 15:27,Done,,,07-11-2024 09:27,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,8142,,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,PLAIN WASHER FOR M20 (GRADE 8.8 ),16 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,16,-16,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:15,Done,27:15:21,Std. price list item,07-11-2024 14:15,06-11-2024 15:27,Done,,,07-11-2024 09:27,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,8142,,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX.BOLT M16 X 40 LONG (GRADE 8.8 GAVANIZED),65 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,65,-65,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:15,Done,27:15:38,Std. price list item,07-11-2024 14:15,06-11-2024 15:27,Done,,,07-11-2024 09:27,06-11-2024 14:39,Done,,,06-11-2024 18:39,08-11-2024 17:20,,8142,46:40:34,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX NUT M16 (GRADE 8.8 GAVANIZED),65 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,65,-65,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:15,Done,27:15:57,Std. price list item,07-11-2024 14:15,06-11-2024 15:27,Done,,,07-11-2024 09:27,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,8142,,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,PLAIN WASHER FOR M16 (GRADE 8.8 GAVANIZED),65 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,65,-65,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:16,Done,27:16:02,Std. price list item,07-11-2024 14:16,06-11-2024 15:27,Done,,,07-11-2024 09:27,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,8142,,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX.BOLT M8X 20 LONG.(GRADE 8.8 ),8 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,08 NOS,8,8,0,STOCK,05-11-2024 11:00,06-11-2024 14:16,Done,27:16:13,,07-11-2024 14:16,06-11-2024 15:27,Done,,,07-11-2024 09:27,06-11-2024 14:39,Done,,,06-11-2024 18:39,,,,158:49:28,IN STOCK NOIDA,30-11-2024 15:00,,,,-413:30:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,HEX NUT M8 (GRADE 8.8 ),8 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,8 NOS,8,8,0,STOCK,05-11-2024 11:00,06-11-2024 14:16,Done,27:16:19,Std. price list item,07-11-2024 14:16,06-11-2024 15:28,Done,,,07-11-2024 09:28,06-11-2024 14:39,Done,,,06-11-2024 18:39,08-11-2024 17:21,,8142,46:41:14,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,PLAIN WASHER FOR M8 (GRADE 8.8 ),8 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,8 NOS,8,8,0,STOCK,05-11-2024 11:00,06-11-2024 14:16,Done,27:16:25,Std. price list item,07-11-2024 14:16,06-11-2024 15:28,Done,,,07-11-2024 09:28,06-11-2024 14:39,Done,,,06-11-2024 18:39,06-11-2024 17:34,,,,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:27,I-204,SR,32520,MILL,"WORM GEAR CLAMP TYPE HOSE CLIP AS PER IS:4762, SIZE-70 mm, MS, ZINK PLATED.",86 NOS,30-Nov-24,,Ready-Made,05-11-2024 10:27,05-11-2024 10:27,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,86,-86,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:16,Done,27:16:36,,07-11-2024 14:16,06-11-2024 15:28,Done,,,07-11-2024 09:28,06-11-2024 14:40,Done,,,06-11-2024 18:40,,,,158:48:49,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:40,I-205,SR,32520,MILL,Flexible Hose Pipe: 50ID X 275mm Lg,50 Nos,30-Nov-24,,Ready-Made,05-11-2024 10:40,05-11-2024 10:40,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,50,-50,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:16,Done,27:16:46,"recent price have ,repeated order",07-11-2024 14:16,06-11-2024 15:28,Done,,,07-11-2024 09:28,06-11-2024 14:40,Done,,,06-11-2024 18:40,,,,158:48:49,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 16:40,I-205,SR,32520,MILL,"WORM GEAR CLAMPTYPE HOSE CLIP ASPER IS:4762, SIZE-70mm, MS, ZINKPLATED.",14 Nos,30-Nov-24,,Ready-Made,05-11-2024 10:40,05-11-2024 10:40,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,14,-14,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:16,Done,27:16:52,"recent price have ,repeated order",07-11-2024 14:16,06-11-2024 15:28,Done,,,07-11-2024 09:28,06-11-2024 14:40,Done,,,06-11-2024 18:40,,,,158:48:44,,30-11-2024 15:00,,,,-413:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 17:09,I-206,NK,Job-32418,Bhusan Power and Steel Limited,FILTER BAG-160 X8000-FIBER GLASS-TOP SNAP BEND-BOTTOM CLOSED 3 ROW STITCHED,2498,10-Dec-24,"https://workdrive.zoho.eu/file/42jb193d5fdf8deb442a4be191671400b7cc2,https://workdrive.zoho.eu/file/42jb1ff85253a31cf455187a2c19482a845f3",Ready-Made,05-11-2024 11:09,05-11-2024 11:09,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:00,Done,,0,,2498,-2498,NOT IN STOCK,05-11-2024 11:00,06-11-2024 14:17,Done,27:17:26,"recent price have ,repeated order",07-11-2024 14:17,06-11-2024 15:28,Done,,,07-11-2024 09:28,06-11-2024 14:40,Done,,,06-11-2024 18:40,12-11-2024 16:05,,6458,141:25:18,,10-12-2024 15:00,,,,-653:30:41,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2024 17:09,I-206,NK,Job-32418,Bhusan Power and Steel Limited,FILTER CAGE-156MMx7980MM,2498,10-Dec-24,,Ready-Made,05-11-2024 11:09,05-11-2024 11:09,05-11-2024 10:48,Rejected,,,,,,05-11-2024 17:39,,,,,2498,-2498,,06-11-2024 10:39,,,166:50:19,,,,,,,,,,,,,,,,,,10-12-2024 15:00,,,,-653:30:41,,,,,06-11-2024 17:34,Done,,material,,06-11-2024 17:34,,,,,,,,,,,,,,,,,,,,,
04-11-2024 17:28,I-207,SN,32469,JK PANNA COAL MILL,COUPLING FBC3,4 NOS,07-Nov-24,,Ready-Made,05-11-2024 11:28,05-11-2024 11:28,05-11-2024 10:48,Accepted,,,Vikrant,,05-11-2024 14:48,05-11-2024 17:39,,02:51:03,0,,4,-4,NOT IN STOCK,06-11-2024 10:39,11-11-2024 10:34,Done,119:55:19,,12-11-2024 10:34,11-11-2024 10:57,Done,,,11-11-2024 14:57,11-11-2024 10:57,Done,,,11-11-2024 14:57,08-11-2024 17:24,,8134,,,07-11-2024 15:00,,,,138:29:19,,,SHAMLI TO BE UPDATE,,06-11-2024 17:34,Done,,,,06-11-2024 17:34,No,,,07-11-2024 11:34,,,141:55:19,,,,,,,,,,,,,,
04-11-2024 17:31,I-208,SN,CONSUMABLE,CONSUMABLE,LEATHER HAND GLOVES,20 PAIR,08-Nov-24,,Ready-Made,05-11-2024 11:31,05-11-2024 11:31,04-11-2024 17:53,Accepted,,,Vikrant,,05-11-2024 11:53,04-11-2024 18:01,Done,,0,,20,-20,NOT IN STOCK,05-11-2024 11:01,06-11-2024 14:17,Done,27:16:36,Std. price list item,07-11-2024 14:17,06-11-2024 15:28,Done,,,07-11-2024 09:28,06-11-2024 14:40,Done,,,06-11-2024 18:40,06-11-2024 17:34,,8148,,,08-11-2024 15:00,,12-11-2024 10:18,12-11-2024 10:18,91:18:34,Fully Received,Noida,SHAMLI TO BE UPDATE,12-11-2024 14:18,,,19:10:46,,12-11-2024 14:18,,,19:10:46,,,,,,,,,,,,,,,,,,,
